Item,,Quantity,,Price,,Source,,,,
,,,,,,,,,,
CF Bed ,,1,,,,sponsored,,,,
Aluminum Panels,,3,,,,sponsored,,,,
8038 Fans,,3,,18,,https://www.filastruder.com/products/nmb-technologies-08038ra-24s-ea-axial-fan-24vdc-1-75a-42w?variant=41246263541831,,,,
230mm MGN 12C rails,,3,,50,,https://www.aliexpress.com/item/3256803510505969.html?,,,,
6x8 CF tube,,1,,17,,https://windcatcherrc.com/product/carbon-fiber-tube-8mm-x-6mm-x-1000mm/,,,,
MPJET Joints,,12,,25,,https://mpjet.com/shop/gb/ball-7-mm-dia/1286-375-ball-link-v1-type-7-mm-dia-m33-short.html#/11-colour-b_black,,,,
Nema 17 Stepper,,8,,120,,https://www.omc-stepperonline.com/full-d-cut-shaft-nema-17-bipolar-0-9deg-46ncm-65-1oz-in-2a-2-9v-42x42x48mm-4-wires-17hm19-2004s1,,,,
Optical Endstops,,5,,7.5,,https://www.aliexpress.us/item/3256805987029628.html?,,,,
2040 Frame,,9,,45,,misumi,,,,
Nozzle Brace,,1,,,,sponsored,,,,
Lancer Long,,1,,42,,https://peopoly.net/products/magneto-x-lancer-melt-zone,,,,
Melt Zone Extender,,1,,10,,https://www.aliexpress.us/item/3256808212338358.html?,,,,
V6 Volcano Adapter,,1,,3.5,,https://www.aliexpress.us/item/3256806523372837.html?,,,,
6mm GT2 Belt,,,,25,,https://www.aliexpress.us/item/2251832766081359.html?,,,,
Bulk M3 M5 Screws,,bulk,,15,,,,,,
M4 countersunk screws,,3,,3,,,,,,
M4 locknuts,,3,,3,,,,,,
,,,,,,,,,,
M3 heat inserts,,bulk,,0,,,,,,
M4 heat inserts,,bulk,,3,,,,,,
15t 5mm Bore 6mm Belt Pulleys,,10,,3.5,,https://www.aliexpress.us/item/2251832626304841.html?,,,,
F695 Bearings,,10,,4.1,,https://www.aliexpress.us/item/3256803453717139.html?,,,,
BMG drive gears,,2,,12,,https://www.aliexpress.us/item/3256808647966894.html?,,,,
80mm 24v Silicone Heater,,,,12,,https://www.aliexpress.us/item/3256805151930305.html?,,,,
Fiberglass Sheath,,1,,12,,https://www.aliexpress.us/item/3256804526701873.html?,,,,
Printed Parts ,,n/a,,,,sponsored,,,,
HotendMountPlate,,1,,,,sponsored,,,,
thermistor,,1,,6,,https://www.aliexpress.us/item/3256803014209001.html?,,,,
20AWG wire,,1,,5,,https://www.aliexpress.us/item/3256806823370576.html?,,,,
,,,,,,,,,,
Fused Inlet,,1,,3,,https://www.aliexpress.us/item/2255800014516486.html?,,,,
350w 24v PSU,,1,,8,,https://www.aliexpress.us/item/3256807173889947.html?,,,,
duet 6hc+3hc clone,,1,,,,sponsored,,,,
,,,,,,,,,,
,,,,,,,,,alix cart total,126.7
,,all screws are from aliexpress,,,,,,,,
,,,,,,,,,,
,,,actual total (alix discounts) ,,348.7,,,,,

